route_id,service_id,trip_id,trip_headsign,direction_id,block_id
24-273,JAN18-JANDA18-Weekday-31,50075636-JAN18-JANDA18-Weekday-31,"St-Laurent",1,5757152
264-273,JAN18-JANDA18-Weekday-31,50075637-JAN18-JANDA18-Weekday-31,"Terry Fox",1,5756112
97-273,JAN18-JANDA18-Weekday-31,50075638-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5755994
97-273,JAN18-JANDA18-Weekday-31,50075639-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5755994
94-273,JAN18-JANDA18-Weekday-31,50075640-JAN18-JANDA18-Weekday-31,"Millennium",1,5755994
94-273,JAN18-JANDA18-Weekday-31,50075641-JAN18-JANDA18-Weekday-31,"Riverview",0,5757137
94-273,JAN18-JANDA18-Weekday-31,50075642-JAN18-JANDA18-Weekday-31,"Millennium",1,5757137
87-273,JAN18-JANDA18-Weekday-31,50075643-JAN18-JANDA18-Weekday-31,"Greenboro",0,5757215
87-273,JAN18-JANDA18-Weekday-31,50075644-JAN18-JANDA18-Weekday-31,"Baseline",1,5757215
87-273,JAN18-JANDA18-Weekday-31,50075645-JAN18-JANDA18-Weekday-31,"Greenboro",0,5757215
6-273,JAN18-JANDA18-Weekday-31,50075646-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756491
6-273,JAN18-JANDA18-Weekday-31,50075647-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756391
6-273,JAN18-JANDA18-Weekday-31,50075648-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756563
6-273,JAN18-JANDA18-Weekday-31,50075649-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756563
6-273,JAN18-JANDA18-Weekday-31,50075650-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756563
5-273,JAN18-JANDA18-Weekday-31,50075651-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756563
95-273,JAN18-JANDA18-Weekday-31,50075652-JAN18-JANDA18-Weekday-31,"Orléans",0,5756813
95-273,JAN18-JANDA18-Weekday-31,50075653-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5756813
61-273,JAN18-JANDA18-Weekday-31,50075654-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5756809
94-273,JAN18-JANDA18-Weekday-31,50075655-JAN18-JANDA18-Weekday-31,"Riverview",0,5757133
91-273,JAN18-JANDA18-Weekday-31,50075656-JAN18-JANDA18-Weekday-31,"Orléans",0,5756897
91-273,JAN18-JANDA18-Weekday-31,50075657-JAN18-JANDA18-Weekday-31,"Baseline",1,5756897
111-273,JAN18-JANDA18-Weekday-31,50075658-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756676
111-273,JAN18-JANDA18-Weekday-31,50075659-JAN18-JANDA18-Weekday-31,"Baseline",1,5756676
111-273,JAN18-JANDA18-Weekday-31,50075660-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756676
111-273,JAN18-JANDA18-Weekday-31,50075661-JAN18-JANDA18-Weekday-31,"Baseline",1,5756676
97-273,JAN18-JANDA18-Weekday-31,50075662-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5755934
97-273,JAN18-JANDA18-Weekday-31,50075663-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5755934
104-273,JAN18-JANDA18-Weekday-31,50075664-JAN18-JANDA18-Weekday-31,"Carleton",1,5757178
104-273,JAN18-JANDA18-Weekday-31,50075665-JAN18-JANDA18-Weekday-31,"Place d'Orléans",0,5757178
12-273,JAN18-JANDA18-Weekday-31,50075666-JAN18-JANDA18-Weekday-31,"Rideau",1,5757137
44-273,JAN18-JANDA18-Weekday-31,50075667-JAN18-JANDA18-Weekday-31,"Billings Bridge",0,5756871
6-273,JAN18-JANDA18-Weekday-31,50075668-JAN18-JANDA18-Weekday-31,"Rockcliffe",1,5756088
12-273,JAN18-JANDA18-Weekday-31,50075669-JAN18-JANDA18-Weekday-31,"Blair",0,5757145
12-273,JAN18-JANDA18-Weekday-31,50075670-JAN18-JANDA18-Weekday-31,"Blair",0,5757137
94-273,JAN18-JANDA18-Weekday-31,50075671-JAN18-JANDA18-Weekday-31,"Riverview",0,5756002
84-273,JAN18-JANDA18-Weekday-31,50075672-JAN18-JANDA18-Weekday-31,"Centrepointe - Baseline",0,5757128
91-273,JAN18-JANDA18-Weekday-31,50075674-JAN18-JANDA18-Weekday-31,"Orléans",0,5757128
12-273,JAN18-JANDA18-Weekday-31,50075675-JAN18-JANDA18-Weekday-31,"Blair",0,5756527
129-273,JAN18-JANDA18-Weekday-31,50075676-JAN18-JANDA18-Weekday-31,"Hurdman",1,5756527
129-273,JAN18-JANDA18-Weekday-31,50075677-JAN18-JANDA18-Weekday-31,"Carson's",0,5756037
129-273,JAN18-JANDA18-Weekday-31,50075678-JAN18-JANDA18-Weekday-31,"Hurdman",1,5756037
